2457934.83839 17.701 0.021 6.34 381.0
2457934.86137 17.684 0.020 6.42 379.0
2457935.53215 17.723 0.017 4.53 458.0
2457935.58856 17.717 0.017 4.16 410.0
2457935.64554 17.682 0.015 4.23 369.0
2457935.69484 17.729 0.017 4.11 378.0
2457935.74188 17.700 0.016 4.63 327.0
2457935.78888 17.689 0.015 4.74 339.0
2457935.85776 17.718 0.017 5.05 391.0
2457936.48723 17.749 0.022 5.72 541.0
2457936.53986 17.740 0.021 5.69 437.0
2457936.58748 17.697 0.017 4.87 375.0
2457936.63541 17.708 0.017 5.18 354.0
2457936.70774 17.680 0.017 5.31 347.0
2457936.76427 17.723 0.020 6.42 331.0
2457936.81201 17.714 0.018 5.79 332.0
2457936.86061 17.715 0.024 7.39 400.0
2457937.48164 17.725 0.024 5.93 665.0
2457937.52858 17.696 0.021 5.55 544.0
2457937.57661 17.702 0.020 5.33 476.0
2457937.62380 17.711 0.015 4.22 389.0
2457937.67201 17.695 0.017 4.61 417.0
2457937.73010 17.700 0.019 5.95 377.0
2457937.78706 17.687 0.022 6.97 365.0
2457937.83395 17.746 0.024 7.01 417.0
2457938.55203 17.731 0.023 5.59 533.0
2457938.60048 17.725 0.022 6.12 481.0
2457938.65290 17.745 0.025 6.97 500.0
2457944.49240 17.712 0.023 5.05 804.0
2457944.53157 17.691 0.021 4.71 776.0
2457944.57181 17.786 0.021 4.46 713.0
2457944.61044 17.722 0.020 4.60 678.0
2457944.65864 17.706 0.020 4.33 642.0
2457944.70806 17.751 0.023 5.46 630.0
2457944.75480 17.734 0.023 5.30 660.0
2457944.79563 17.769 0.026 5.28 795.0
2457944.82651 17.765 0.040 8.14 919.0
2457945.47751 17.666 0.022 5.83 606.0
2457945.51368 17.690 0.022 5.41 721.0
2457945.56009 17.753 0.021 5.26 554.0
2457945.60778 17.728 0.017 4.13 508.0
2457945.65632 17.703 0.017 4.39 466.0
2457945.70408 17.742 0.018 4.93 474.0
2457945.75143 17.776 0.018 4.44 533.0
2457945.79848 17.696 0.021 5.41 624.0
2457945.84370 17.717 0.024 5.90 802.0
2457946.49435 17.713 0.018 5.27 393.0
2457946.55158 17.708 0.019 4.89 511.0
2457946.59960 17.680 0.016 4.15 482.0
2457946.66491 17.694 0.018 4.93 432.0
2457946.71244 17.678 0.019 5.69 444.0
2457946.76031 17.702 0.022 6.21 457.0
2457946.80921 17.691 0.021 5.97 502.0
2457947.51146 17.727 0.019 5.68 368.0
2457947.55029 17.726 0.020 6.25 404.0
2457947.59903 17.744 0.018 5.05 402.0
2457947.64961 17.707 0.020 5.80 391.0
2457947.74363 17.760 0.024 6.74 454.0
2457947.79104 17.701 0.026 7.36 500.0
2457948.46628 17.705 0.029 6.77 797.0
2457948.50431 17.737 0.019 5.51 390.0
2457948.56221 17.662 0.017 5.27 353.0
2457948.61986 17.709 0.018 5.47 396.0
2457948.67145 17.657 0.021 5.77 549.0
2457948.74203 17.750 0.022 5.87 482.0
2457948.78834 17.702 0.019 5.56 520.0
2457948.83303 17.716 0.025 6.93 596.0
2457949.57561 17.648 0.020 5.08 630.0
2457949.63264 17.693 0.021 5.95 457.0
2457949.68692 17.703 0.028 7.34 527.0
2457949.73616 17.734 0.024 5.78 647.0
2457952.68816 17.719 0.019 5.71 362.0
2457952.73987 17.727 0.020 6.29 337.0
2457952.79523 17.769 0.028 7.88 387.0
2457953.47514 17.694 0.022 6.14 516.0
2457953.52128 17.716 0.016 4.47 403.0
2457953.59076 17.705 0.015 4.71 337.0
2457953.64550 17.679 0.017 5.31 322.0
2457953.69592 17.736 0.018 5.64 303.0
2457953.74830 17.718 0.016 5.33 324.0
2457953.79716 17.675 0.018 5.88 399.0
2457954.48648 17.707 0.018 4.74 646.0
2457954.53823 17.712 0.016 4.27 462.0
2457954.60000 17.723 0.014 4.00 321.0
2457954.66796 17.691 0.014 4.30 311.0
2457954.72862 17.756 0.017 5.00 418.0
2457954.78446 17.739 0.018 5.30 461.0
2457955.74044 17.710 0.016 5.37 367.0
2457955.78397 17.708 0.019 6.76 370.0
2457956.48940 17.706 0.019 4.83 496.0
2457956.54620 17.697 0.016 4.44 419.0
2457956.60298 17.722 0.014 3.70 334.0
2457956.66999 17.700 0.016 4.33 336.0
2457956.71706 17.717 0.017 4.89 371.0
2457956.76767 17.705 0.019 6.22 397.0
2457957.54205 17.705 0.021 6.45 417.0
2457957.67664 17.705 0.020 6.49 374.0
2457957.72546 17.665 0.018 5.97 387.0
2457958.57414 17.719 0.024 6.87 455.0
2457958.61641 17.750 0.022 6.28 378.0
2457958.64859 17.731 0.025 7.46 369.0
2457958.69971 17.738 0.021 6.13 365.0
2457958.75169 17.697 0.019 5.98 366.0
2457958.79227 17.741 0.024 7.01 417.0
2457959.49650 17.689 0.016 4.95 391.0
2457959.54435 17.714 0.016 4.37 376.0
2457959.59410 17.706 0.016 4.61 353.0
2457959.64509 17.697 0.015 4.34 326.0
2457959.69415 17.736 0.017 5.01 332.0
2457959.74545 17.702 0.017 5.48 349.0
2457959.78826 17.702 0.024 7.64 415.0
2457960.48446 17.748 0.021 6.03 425.0
2457960.53240 17.685 0.016 4.93 349.0
2457960.59648 17.694 0.014 4.53 349.0
